"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","12","CV20018690MR","469","INC","S","1368  E Kingsley AVE #E","POMONA","","6.00 (0 0 0 0)","4,917","$264.39","$1,300,000","$1,250,000","$0.00","9,049","1968","15","5","04/02/2020"
"","1","CV20019988MR","469","INC","S","259  W Willow ST ","POMONA","4","3.00 (3 0 0 0)","1,771","$282.33","$500,000","$455,000","$0.00","7,503","1949","2","","02/11/2020"
"","","CV20041511MR","1543","INC","S","936  N Laurel AVE ","ONTARIO","","2.00 (0 0 0 0)","1,721","$281.81","$485,000","$485,000","","7,152","1924","8","2","04/27/2020"
"","37","CV20045849MR","1795","INC","S","294  S Campus AVE ","UPLAND","","2.00 (0 0 0 0)","1,757","$330.05","$579,900","$555,750","","7,800","1948","4","2","04/07/2020"
"","50","CV20045966MR","487","INC","S","338  W 6th ST ","CLAREMONT","","5.00 (0 0 0 0)","2,638","$491.28","$1,296,000","$1,150,000","$0.00","10,550","1906","10","3","10/02/2020"
"","1","CV20049595MR","469","INC","S","751  S Towne AVE ","POMONA","","4.00 (0 0 0 0)","2,360","$275.42","$650,000","$650,000","","7,442","1954","52","4","08/24/2020"
"","35","CV20053688MR","487","INC","S","338  W 6th ST ","CLAREMONT","4","4.00 (3 1 0 0)","2,638","$491.28","$1,296,000","$1,150,000","$0.00","10,550","1906","10","","10/02/2020"
"","17","CV20059643MR","1795","INC","S","807  N 2nd AVE ","UPLAND","","3.00 (0 0 0 0)","2,235","$245.64","$549,000","$550,000","$0.00","8,400","1950","35","2","04/29/2020"
"","39","CV20061849MR","1795","INC","S","1368  E 9th ST ","UPLAND","","2.00 (0 0 0 0)","1,239","$402.65","$498,888","$477,700","","11,475","1948","75","3","07/28/2020"
"","25","CV20062163MR","1795","INC","S","1368  E 9th ST ","UPLAND","4","2.00 (2 0 0 0)","1,239","$402.65","$498,888","$477,700","$0.00","11,475","1948","75","","07/28/2020"
