"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","","COMP24133669","469","INC","S","321  N PALOMARES ST ","POMONA","3","3.00 (3 0 0 0)","1,808","$342.92","$620,000","$620,000","","6,895","1928","0","3","03/05/2024"
"","","COMP24134226","469","INC","S","192  E PHILLIPS BLVD ","POMONA","8","4.00 (4 0 0 0)","3,297","$280.56","$925,000","$925,000","","20,970","1946","0","4","03/26/2024"
"","","COMP24134495","469","INC","S","1433  S SAN ANTONIO AVE #B","POMONA","4","2.00 (2 0 0 0)","1,996","$345.69","$690,000","$690,000","","15,221","1953","0","2","04/10/2024"
"","","COMP24134844","469","INC","S","3106  N GAREY AVE ","POMONA","","70.00 (70 0 0 0)","47,394","$208.89","$9,900,000","$9,900,000","","67,949","1963","0","44","04/23/2024"
"","","COMP24134942","469","INC","S","540   SAN FRANCISCO AVE ","POMONA","3","3.00 (3 0 0 0)","1,848","$361.47","$668,000","$668,000","","11,027","1910","0","3","04/23/2024"
"","","COMP24135036","469","INC","S","794  W 8TH ST ","POMONA","5","2.00 (2 0 0 0)","2,194","$325.89","$715,000","$715,000","","7,190","1923","0","2","04/30/2024"
"","16","CV20256088MR","1543","INC","S","542  E ""E"" ST ","ONTARIO","","3.00 (0 0 0 0)","1,904","$387.87","$738,500","$720,000","$0.00","9,558","1953","122","3","07/02/2021"
"","53","CV20262409MR","1543","INC","S","1672  E Harvard PL ","ONTARIO","","12.00 (0 0 0 0)","14,321","$286.29","$4,100,000","$4,050,000","$288.00","25,799","2018","117","9","06/01/2021"
"","18","CV21006119MR","1543","INC","S","1006  W E ST #2","ONTARIO","","2.00 (0 0 0 0)","1,674","$316.61","$529,999","$500,000","$0.00","8,845","1956","71","2","06/22/2021"
"","24","CV21008002MR","1627","INC","S","10324 10316  25th ST ","RANCHO CUCAMONGA","","3.00 (0 0 0 0)","2,300","$334.78","$770,000","$765,000","","6,250","1977","27","2","05/27/2021"
"","7","CV21028495MR","1543","INC","S","1095  E Nocta ST ","ONTARIO","","3.00 (0 0 0 0)","2,312","$313.58","$725,000","$720,000","$0.00","7,200","1955","124","3","07/03/2021"
"","1","CV21065675MR","1627","INC","S","9836   Main ST ","RANCHO CUCAMONGA","","2.00 (0 0 0 0)","1,400","$382.14","$535,000","$535,000","$0.00","8,000","1925","6","2","06/07/2021"
"","62","CV21069087MR","469","INC","S","423   Chester PL ","POMONA","","3.00 (0 0 0 0)","1,932","$310.04","$599,000","$660,000","","7,361","1941","21","3","06/13/2021"
"","27","CV21071525MR","1455","INC","S","10341   Vernon AVE ","MONTCLAIR","","8.00 (0 0 0 0)","4,720","$252.12","$1,190,000","$1,248,000","","32,438","1938","3","4","05/24/2021"
"","56","CV21074837MR","1543","INC","S","1035  N Allyn AVE ","ONTARIO","","2.00 (0 0 0 0)","1,868","$401.50","$749,999","$735,000","$0.00","7,095","1960","139","2","10/18/2021"
"","6","CV21079520MR","469","INC","S","231   San Francisco AVE ","POMONA","6","3.00 (3 0 0 0)","2,856","$255.60","$730,000","$761,000","$0.00","6,816","1921","28","","07/15/2021"
"","15","CV21083046MR","487","INC","S","2917   Rhodelia AVE ","CLAREMONT","4","3.00 (3 0 0 0)","1,924","$467.77","$899,999","$850,000","$0.00","7,979","1964","89","","10/08/2021"
"","7","CV21083434MR","1795","INC","S","289   Stillman AVE ","UPLAND","","4.00 (0 0 0 0)","3,733","$267.61","$999,000","$1,010,000","$109.00","9,520","1968","0","4","06/25/2021"
"","23","CV21084012MR","1543","INC","S","1035  N Allyn AVE ","ONTARIO","4","2.00 (2 0 0 0)","1,868","$401.50","$749,999","$735,000","$0.00","7,095","1960","127","","10/18/2021"
"","64","CV21084596MR","1543","INC","S","504  E Harvard PL ","ONTARIO","6","5.00 (4 0 1 0)","2,713","$368.23","$999,000","$1,090,000","$0.00","10,714","1939","20","","06/22/2021"
"","63","CV21084663MR","1543","INC","S","504  E Harvard PL ","ONTARIO","","5.00 (0 0 0 0)","2,713","$368.23","$999,000","$1,090,000","$0.00","10,714","1939","20","3","06/22/2021"
"","34","CV21085524MR","1543","INC","S","1081  E Nocta ST ","ONTARIO","","2.00 (0 0 0 0)","1,114","$471.27","$525,000","$550,000","$0.00","6,192","1924","15","2","05/26/2021"
"","34","CV21085607MR","1543","INC","S","1081  E Nocta ST ","ONTARIO","3","2.00 (2 0 0 0)","1,114","$471.27","$525,000","$550,000","$0.00","6,192","1924","15","1","05/26/2021"
"","21","CV21087718MR","1627","INC","S","10371   24th ST ","RANCHO CUCAMONGA","","2.00 (0 0 0 0)","1,600","$418.75","$670,000","$690,000","","7,500","1961","3","2","06/26/2021"
